Matchday;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HC;AC;HF;AF;HY;AY;HR;AR
1;040817;Monaco;Toulouse;3;2;H;1;1;D;17;6;7;3;8;2;12;23;1;3;0;0
1;050817;Lyon;Strasbourg;4;0;H;1;0;H;12;7;7;1;3;4;11;16;2;3;0;0
1;050817;Metz;Guingamp;1;3;A;1;1;D;6;13;4;5;3;3;9;13;1;2;0;0
1;050817;Montpellier;Caen;1;0;H;0;0;D;10;8;2;1;9;3;9;11;2;1;0;0
1;050817;Paris SG;Amiens;2;0;H;1;0;H;16;7;5;1;8;3;9;12;0;1;0;0
1;050817;St Etienne;Nice;1;0;H;1;0;H;8;6;3;2;2;7;11;8;2;1;0;0
1;050817;Troyes;Rennes;1;1;D;0;0;D;11;16;4;4;6;7;13;8;1;0;0;0
1;060817;Angers;Bordeaux;2;2;D;1;1;D;9;7;5;4;0;5;16;15;3;2;0;0
1;060817;Lille;Nantes;3;0;H;0;0;D;14;9;5;4;15;3;11;17;2;3;0;0
1;060817;Marseille;Dijon;3;0;H;0;0;D;18;12;5;1;7;3;7;10;1;0;0;0
2;110817;Nice;Troyes;1;2;A;0;0;D;20;10;6;4;10;4;11;8;2;3;0;0
2;110817;Rennes;Lyon;1;2;A;0;0;D;17;17;5;8;14;2;9;16;1;3;0;0
2;120817;Amiens;Angers;0;2;A;0;1;A;10;12;1;6;5;5;8;18;3;2;0;0
2;120817;Bordeaux;Metz;2;0;H;1;0;H;12;6;5;1;5;1;17;10;1;2;0;0
2;120817;Caen;St Etienne;0;1;A;0;0;D;10;6;4;4;8;2;12;15;1;1;0;0
2;120817;Nantes;Marseille;0;1;A;0;0;D;14;13;3;10;6;9;13;12;1;3;0;0
2;120817;Toulouse;Montpellier;1;0;H;1;0;H;8;14;4;1;5;3;25;12;4;3;0;0
2;130817;Dijon;Monaco;1;4;A;1;3;A;15;16;3;6;6;10;10;12;0;2;0;0
2;130817;Guingamp;Paris SG;0;3;A;0;0;D;4;21;0;8;4;6;9;13;2;2;0;0
2;130817;Strasbourg;Lille;3;0;H;0;0;D;22;12;9;2;7;5;8;13;1;2;0;1
3;180817;Metz;Monaco;0;1;A;0;0;D;9;22;5;5;6;6;17;16;2;1;0;0
3;190817;Lyon;Bordeaux;3;3;D;2;1;H;8;16;5;6;0;8;20;16;2;2;1;0
3;190817;Montpellier;Strasbourg;1;1;D;0;1;A;16;7;5;1;9;2;6;18;2;3;0;0
3;190817;Nice;Guingamp;2;0;H;1;0;H;14;13;8;1;4;5;12;15;2;2;0;0
3;190817;Rennes;Dijon;2;2;D;1;0;H;14;12;7;4;7;0;9;13;2;4;0;0
3;190817;St Etienne;Amiens;3;0;H;2;0;H;13;16;5;1;3;11;11;12;2;2;0;0
3;190817;Troyes;Nantes;0;1;A;0;0;D;8;11;1;4;2;10;7;8;1;0;0;1
3;200817;Lille;Caen;0;2;A;0;1;A;15;11;4;3;5;3;9;12;2;2;0;0
3;200817;Marseille;Angers;1;1;D;1;0;H;12;11;2;4;11;2;20;7;3;2;1;0
3;200817;Paris SG;Toulouse;6;2;H;2;1;H;24;7;15;1;7;1;8;19;0;4;1;0
4;250817;Paris SG;St Etienne;3;0;H;1;0;H;14;12;4;2;8;3;20;12;2;3;0;0
4;260817;Amiens;Nice;3;0;H;2;0;H;12;12;4;3;3;4;14;7;3;3;0;0
4;260817;Bordeaux;Troyes;2;1;H;1;0;H;12;5;8;2;4;4;9;17;0;1;0;0
4;260817;Caen;Metz;1;0;H;0;0;D;16;9;4;2;9;3;11;16;2;2;0;0
4;260817;Dijon;Montpellier;2;1;H;1;0;H;7;11;2;2;2;4;18;14;2;2;0;0
4;260817;Nantes;Lyon;0;0;D;0;0;D;6;16;2;3;1;8;13;11;1;1;0;0
4;260817;Toulouse;Rennes;3;2;H;1;1;D;11;14;7;3;3;4;19;22;4;3;0;1
4;270817;Angers;Lille;1;1;D;0;0;D;11;13;2;3;7;1;10;10;2;5;0;0
4;270817;Guingamp;Strasbourg;2;0;H;0;0;D;14;15;6;3;2;7;12;14;1;2;0;0
4;270817;Monaco;Marseille;6;1;H;4;0;H;14;10;8;3;1;1;11;14;2;3;0;0
5;080917;Lille;Bordeaux;0;0;D;0;0;D;8;17;2;1;5;3;11;13;2;4;1;0
5;080917;Metz;Paris SG;1;5;A;1;1;D;8;23;1;12;6;7;10;8;0;1;1;0
5;090917;Caen;Dijon;2;1;H;1;1;D;12;9;3;4;8;3;19;17;1;2;1;0
5;090917;Montpellier;Nantes;0;1;A;0;0;D;11;12;3;4;8;3;7;12;1;2;1;0
5;090917;Nice;Monaco;4;0;H;2;0;H;9;11;5;1;2;11;19;14;2;2;0;0
5;090917;Strasbourg;Amiens;0;1;A;0;1;A;10;8;3;3;6;0;22;14;1;3;1;0
5;090917;Troyes;Toulouse;0;0;D;0;0;D;11;7;3;0;4;1;12;13;2;3;0;0
5;100917;Lyon;Guingamp;2;1;H;1;0;H;12;13;4;6;3;6;16;16;2;2;0;0
