numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20151101120000;102910;-80;8;150;2.600000;287.750000;283.950000;78;8000;0;0;0;0;0;mq;30;20;10;102040;mq;mq;590;mq;mq;mq;mq;278.950000;mq;mq;3.500000;4.600000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.200000;0.400000;0.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20151101120000;102920;-100;8;180;3.900000;288.150000;283.350000;73;5890;0;mq;mq;mq;0;mq;mq;mq;mq;102350;mq;mq;560;mq;mq;mq;mq;275.150000;mq;mq;5.200000;5.200000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.200000;0.400000;0.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20151101120000;102810;-50;8;20;1.500000;290.450000;287.150000;81;16000;3;2;mq;100;0;5500;30;20;17;102550;mq;mq;740;mq;mq;mq;mq;mq;mq;mq;2.000000;4.800000;-10;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;mq;mq;mq;mq;8;2;5500;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20151101120000;102790;-90;8;140;2.200000;292.150000;285.450000;65;30000;2;0;0;0;0;mq;30;20;10;101990;mq;mq;730;mq;mq;mq;mq;275.550000;mq;mq;3.100000;3.100000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20151101120000;102890;-40;8;160;1.200000;290.150000;284.150000;68;20000;2;0;0;0;0;mq;30;20;10;101080;mq;mq;640;mq;mq;mq;mq;279.150000;mq;mq;2.000000;3.300000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.200000;0.400000;0.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20151101120000;102990;-90;8;110;2.300000;287.450000;283.450000;77;13520;0;mq;mq;mq;0;mq;mq;mq;mq;101840;mq;mq;520;mq;mq;mq;mq;275.850000;mq;mq;3.300000;3.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20151101120000;102600;-20;8;150;3.900000;291.950000;284.050000;60;30000;1;0;0;0;0;mq;30;20;10;101470;mq;mq;810;mq;mq;mq;mq;278.450000;mq;mq;5.500000;7.200000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.200000;0.400000;0.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07117;20151101120000;102640;-50;8;160;2.300000;293.450000;284.650000;57;18000;1;0;mq;10;1;450;36;20;10;101950;mq;mq;810;mq;mq;mq;mq;mq;mq;mq;4.400000;4.500000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;7;500;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20151101120000;102760;-80;8;120;2.700000;291.450000;283.050000;58;19420;0;mq;mq;mq;0;mq;mq;mq;mq;102320;mq;mq;800;mq;mq;mq;mq;276.850000;mq;mq;4.400000;4.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.200000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20151101120000;102860;-80;8;0;0.000000;291.250000;284.050000;63;19840;0;mq;mq;mq;0;mq;mq;mq;mq;101140;mq;mq;730;mq;mq;mq;mq;274.050000;mq;mq;1.100000;1.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.200000;0.200000;0.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
